Source Name	Comment[ENA_SAMPLE]	Material Type	Provider	Characteristics[organism]	Characteristics[specimen with known storage state]	Characteristics[genotype]	Characteristics[organism part]	Characteristics[cell property]	Characteristics[developmental stage]	Characteristics[cell type]	Characteristics[phenotype]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Comment[LIBRARY_SELECTION]	Comment[NOMINAL_LENGTH]	Comment[ORIENTATION]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Comment[MD5]	Comment[READ_INDEX_1_BASE_COORD]	Comment[SPOT_LENGTH]	Factor Value[cell type]
SQ_0007	ERS403387	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD4 Th1	CD4+ CXCR3+	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0007	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	450	5'-3'-3'-5'	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0007	sequencing assay	ERX397852	SQ_0007_R1.fastq.gz	SQ_0007_R1.fastq.gz	ERR431622	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431622/ERR431622_1.fastq.gz	055976903c44b0241285d54ae2e499da	102	101	CD4 Th1
SQ_0011	ERS403416	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD4 Th17	CD4+ CCR6+ CD161+ CXCR3-	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0011	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	450	5'-3'-3'-5'	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0011	sequencing assay	ERX397881	SQ_0011_R1.fastq.gz	SQ_0011_R1.fastq.gz	ERR431597	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431597/ERR431597_1.fastq.gz	44b2099e260eb3099ec10395a0f8215d	102	101	CD4 Th17
SQ_0014	ERS403408	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD4 Th2	CD4+ CRTH2+ CXCR3-	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0014	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	450	5'-3'-3'-5'	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0014	sequencing assay	ERX397873	SQ_0014_R1.fastq.gz	SQ_0014_R1.fastq.gz	ERR431628	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431628/ERR431628_1.fastq.gz	53712fac59e70839151043443bf0f905	102	101	CD4 Th2
SQ_0015	ERS403415	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD4 Th2	CD4+ CRTH2+ CXCR3-	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0015	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	450	5'-3'-3'-5'	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0015	sequencing assay	ERX397880	SQ_0015_R1.fastq.gz	SQ_0015_R1.fastq.gz	ERR431579	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431579/ERR431579_1.fastq.gz	261aedf7b2c309e2e327f3a5d6a8bcdb	102	101	CD4 Th2
SQ_0021	ERS403436	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD4 Treg	CD4+ CD127- CD25+	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0021	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	450	5'-3'-3'-5'	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0021	sequencing assay	ERX397901	SQ_0021_R1.fastq.gz	SQ_0021_R1.fastq.gz	ERR431583	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431583/ERR431583_1.fastq.gz	1f30880aa773dcc912b2e7c6db2ae6fe	102	101	CD4 Treg
SQ_0022	ERS403386	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD4 Treg	CD4+ CD127- CD25+	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0022	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	450	5'-3'-3'-5'	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0022	sequencing assay	ERX397851	SQ_0022_R1.fastq.gz	SQ_0022_R1.fastq.gz	ERR431606	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431606/ERR431606_1.fastq.gz	b9fd31742d7a4eff1790982a64795146	102	101	CD4 Treg
SQ_0023	ERS403435	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD4 Treg	CD4+ CD127- CD25+	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0023	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	450	5'-3'-3'-5'	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0023	sequencing assay	ERX397900	SQ_0023_R1.fastq.gz	SQ_0023_R1.fastq.gz	ERR431609	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431609/ERR431609_1.fastq.gz	c3435337bcee5dad1524d6af609f47f3	102	101	CD4 Treg
SQ_0046	ERS403400	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD4 Th1	CD4+ CXCR3+	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0046	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	426	5'-3'-3'-5'	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0046	sequencing assay	ERX397865	SQ_0046_R1.fastq.gz	SQ_0046_R1.fastq.gz	ERR431584	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431584/ERR431584_1.fastq.gz	4033348ba5fdff69d248eec2f856b029	102	101	CD4 Th1
SQ_0047	ERS403382	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD4 Th1	CD4+ CXCR3+	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0047	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	364	5'-3'-3'-5'	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0047	sequencing assay	ERX397847	SQ_0047_R1.fastq.gz	SQ_0047_R1.fastq.gz	ERR431577	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431577/ERR431577_1.fastq.gz	1938ff117e3b4c01435d73b17c1aa957	102	101	CD4 Th1
SQ_0048	ERS403425	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD4 Th1	CD4+ CXCR3+	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0048	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	438	5'-3'-3'-5'	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0048	sequencing assay	ERX397890	SQ_0048_R1.fastq.gz	SQ_0048_R1.fastq.gz	ERR431570	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431570/ERR431570_1.fastq.gz	51051f7714d1b68f9b9df34cb9937383	102	101	CD4 Th1
SQ_0050	ERS403390	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD4 Th1	CD4+ CXCR3+	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0050	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	435	5'-3'-3'-5'	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0050	sequencing assay	ERX397855	SQ_0050_R1.fastq.gz	SQ_0050_R1.fastq.gz	ERR431587	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431587/ERR431587_1.fastq.gz	165d7157ecca78cecabfa161c825b588	102	101	CD4 Th1
