	SampleID	Source.Name	Comment.ENA_SAMPLE.	Material.Type	Provider	Characteristics.organism.	Characteristics.specimen.with.known.storage.state.	Characteristics.genotype.	Characteristics.organism.part.	Characteristics.cell.property.	Characteristics.developmental.stage.	Characteristics.cell.type.	Characteristics.phenotype.	Protocol.REF	Protocol.REF.1	Protocol.REF.2	Extract.Name	Material.Type.1	Comment.LIBRARY_LAYOUT.	Comment.LIBRARY_SOURCE.	Comment.LIBRARY_STRATEGY.	Comment.LIBRARY_SELECTION.	Comment.NOMINAL_LENGTH.	Comment.ORIENTATION.	Protocol.REF.3	Performer	Assay.Name	Technology.Type	Comment.ENA_EXPERIMENT.	Scan.Name	Comment.SUBMITTED_FILE_NAME.	Comment.ENA_RUN.	Comment.FASTQ_URI.	Comment.MD5.	Comment.READ_INDEX_1_BASE_COORD.	Comment.SPOT_LENGTH.	Factor.Value.cell.type.
17	ERR431566	SQ_0058	ERS403420	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD4 Th2	CD4+ CRTH2+ CXCR3-	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0058	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	452	5-3-3-5	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0058	sequencing assay	ERX397885	SQ_0058_R1.fastq.gz	SQ_0058_R1.fastq.gz	ERR431566	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431566/ERR431566_1.fastq.gz	e97df4f316ef5c93112080b6abad0a21	102	101	CD4 Th2
52	ERR431573	SQ_0167	ERS403413	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD8 Effector Memory	CD8+ CCR7- CD45RA- CD45RO+	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0167	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	448	5-3-3-5	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0167	sequencing assay	ERX397878	SQ_0167_R1.fastq.gz	SQ_0167_R1.fastq.gz	ERR431573	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431573/ERR431573_1.fastq.gz	17eaa5d191459cc4db39f2b78facad48	102	101	CD8 Effector Memory
21	ERR431580	SQ_0080	ERS403411	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD4 Naive	CD4+ CCR7+ CD45RA+ CD45RO-	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0080	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	474	5-3-3-5	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0080	sequencing assay	ERX397876	SQ_0080_R1.fastq.gz	SQ_0080_R1.fastq.gz	ERR431580	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431580/ERR431580_1.fastq.gz	fae7538f3170a02b65de92b1a92dabb2	102	101	CD4 Naive
11	ERR431587	SQ_0050	ERS403390	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD4 Th1	CD4+ CXCR3+	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0050	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	435	5-3-3-5	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0050	sequencing assay	ERX397855	SQ_0050_R1.fastq.gz	SQ_0050_R1.fastq.gz	ERR431587	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431587/ERR431587_1.fastq.gz	165d7157ecca78cecabfa161c825b588	102	101	CD4 Th1
29	ERR431594	SQ_0136	ERS403438	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	B Memory	CD19+ CD5- CD27+	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0136	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	443	5-3-3-5	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0136	sequencing assay	ERX397903	SQ_0136_R1.fastq.gz	SQ_0136_R1.fastq.gz	ERR431594	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431594/ERR431594_1.fastq.gz	47253acbddc5a6ec74f5add111590ac6	102	101	B Memory
19	ERR431601	SQ_0065	ERS403410	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD4 Treg	CD4+ CD127- CD25+	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0065	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	449	5-3-3-5	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0065	sequencing assay	ERX397875	SQ_0065_R1.fastq.gz	SQ_0065_R1.fastq.gz	ERR431601	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431601/ERR431601_1.fastq.gz	8aae8956187b8fdfd0ba12701feb173b	102	101	CD4 Treg
63	ERR431608	SQ_0178	ERS403385	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	B Memory	CD19+ CD5- CD27+	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0178	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	433	5-3-3-5	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0178	sequencing assay	ERX397850	SQ_0178_R1.fastq.gz	SQ_0178_R1.fastq.gz	ERR431608	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431608/ERR431608_1.fastq.gz	fff95b8406ead55726218351cde5a6f1	102	101	B Memory
18	ERR431615	SQ_0059	ERS403417	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD4 Th2	CD4+ CRTH2+ CXCR3-	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0059	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	451	5-3-3-5	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0059	sequencing assay	ERX397882	SQ_0059_R1.fastq.gz	SQ_0059_R1.fastq.gz	ERR431615	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431615/ERR431615_1.fastq.gz	7335cfb761dea55f485c63b313a14569	102	101	CD4 Th2
1	ERR431622	SQ_0007	ERS403387	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD4 Th1	CD4+ CXCR3+	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0007	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	450	5-3-3-5	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0007	sequencing assay	ERX397852	SQ_0007_R1.fastq.gz	SQ_0007_R1.fastq.gz	ERR431622	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431622/ERR431622_1.fastq.gz	055976903c44b0241285d54ae2e499da	102	101	CD4 Th1
54	ERR431567	SQ_0169	ERS403429	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD8 Effector Memory	CD8+ CCR7- CD45RA- CD45RO+	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0169	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	445	5-3-3-5	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0169	sequencing assay	ERX397894	SQ_0169_R1.fastq.gz	SQ_0169_R1.fastq.gz	ERR431567	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431567/ERR431567_1.fastq.gz	2f3d5246bde8158e512a5f35398f198b	102	101	CD8 Effector Memory
